icone	nb_feuilles_opla	classe	regle_source	feuilles_candidates
👗	24	AMBIGU	(?<![-\w])robes?\b|jupes?\b	W_SKIRT_SUITS (Jupes et robes tailleurs) ; MAXI_DRESSES (Robes longues) ; OCCASIONAL_DRESSES (Robes pour occasions) ; SUMMER_DRESSES (Robes d'été) ; WINTER_DRESSES (Robes d'hiver) ; FORMAL_DRESSES (Robes chics) ; CASUAL_DRESSES (Robes casual) ; STRAPLESS_DRESSES (Robes sans bretelles)
👗	8	AMBIGU	combinaisons?\b|\bcombis?\b(?![\s-]*shorts?\b)	W_JUMPSUITS (Combinaisons) ; W_OTHER_ROMPERS_JUMPSUITS (Autres combinaisons & combishorts) ; MATERNITY_ROMPERS_JUMPSUITS (Combinaisons & combi shorts maternité) ; FULL_ROMPERS_GIRLS_NEW (Combinaisons) ; GIRLS_COMBI_PILOTES_NEW (Combi-pilotes) ; FULL_ROMPERS_BOYS_NEW (Combinaisons) ; BOYS_COMBI_PILOTES_NEW (Combi-pilotes) ; SPORT_WATER_WETSUITS (Combinaisons, gants et chaussons)
🥼	3	NET	blazer|tailleur\b	WOM_BLA_BLAZERS (Blazers) ; W_PANTSUITS (Ensembles tailleur/pantalon) ; BLAZERS_MEN (Blazers)
🧥	19	AMBIGU	(?<!porte.)manteau|veste|blouson|parka|doudoune|trench|imper	CAPES_PONCHOS (Capes et ponchos) ; W_COATS (Manteaux) ; WOMEN_OUTERWEAR_VESTS (Vestes sans manches) ; W_JACKETS (Vestes) ; W_BOMBERS (Blousons mi-saison) ; W_RAINCOATS (Imperméables et coupe-vent) ; VESTS (Vestes) ; MATERNITY_COATS_JACKETS (Manteaux & vestes maternité)
🧥	1	NET	coupe[sx]?.?vents?\b|(?<![\p{L}\p{N}])k.?ways?(?![\p{L}\p{N}	W_RAINCOATS (Imperméables et coupe-vent)
🎀	1	NET	cravate|n[œo]e?ud.?papillon	MEN_TIES_BOWTIES (Cravates et nœuds papillons)
🤵	8	AMBIGU	costume|smoking\b	SPECIAL_OUTFITS_COSTUMES_W (Costumes et tenues particulières) ; SUIT_PANTS (Pantalons de costume) ; SUIT_WAISTCOAT (Gilets de costume) ; SUIT_SET_MEN (Ensembles costume) ; WEDDING_SUIT (Costumes de mariage) ; MEN_TRO_TAILORED_TROUSERS (Pantalons de costume) ; SPECIALISED_CLOTHING_COSTUMES (Vêtements spécialisés et costumes) ; MEN_POCKET_SQUARES (Pochettes de costume)
👔	11	AMBIGU	chemisettes?|chemise|chemisiers?\b|blouse\b	SHIRTS (Chemises) ; MEN_TOP_SHIRTS (Chemises) ; SHIRTS_GIRLS_NEW (Chemises) ; SHORTSLEEVE_SHIRTS_GIRLS_NEW (Chemises manches courtes) ; LOGSLEEVE_SHIRTS_GIRLS_NEW (Chemises manches longues) ; SLEEVELESS_SHIRTS_GIRLS_NEW (Chemises sans manches) ; NIGHTGOWNS_GIRLS_NEW (Chemises de nuit) ; SHIRTS_BOYS_NEW (Chemises)
🧶	31	AMBIGU	pullovers?|sweatshirts?|sweaters?|pull|sweat|hoodie|cardigan	HOODIES_JUMPERS (Sweats & sweats à capuche) ; PULLS_SWEATERS_VESTS (Pulls) ; WOMEN_WAISTCOAT_SWEATER (Gilets) ; W_NEW_SWEATERS (Sweats) ; CARDIGANS (Cardigans) ; WOM_PUL_OTHER (Autres pull-overs & sweat-shirts) ; MATERNITY_HOODIES_SWEATERS (Pulls à capuche & pulls maternité) ; WOM_SPO_PULLOVERS_SWEATERS (Sweats et sweats à capuche)
👕	25	AMBIGU	t.?shirt|tee[sx]?.?shirt|débardeur|caracos?\b|marinieres?\b|	WOM_PUL_OTHER (Autres pull-overs & sweat-shirts) ; WOM_TOP_T_SHIRTS (T-shirts) ; WOM_TOP_T_SHIRTS_LONG_SLEEVE (T-shirts manches longues) ; TANK_TOPS (Débardeurs) ; TUNICS (Tuniques ou blouses) ; CROP_TOPS (Tops courts) ; TOPS_BODIES (Bodies) ; TUBE_TOPS (Tops épaules dénudées)
👕	7	AMBIGU	(?<![\p{L}\p{N}])maillots?(?![\p{L}\p{N}])	MATERNITY_SWIMWEAR_BEACHWEAR (Maillots & tenues de plage maternité) ; WOM_JERSEYS (Maillots) ; MEN_SWIMWEAR (Maillots de bain) ; MEN_JERSEYS (Maillots) ; SWIMSUITS_GIRLS_NEW (Maillot de bain 1 pièce) ; BIKINIS_GIRLS_NEW (Maillot de bain 2 pièces) ; BATHSHORTS_BOYS_NEW (Maillots de bain)
🩳	19	AMBIGU	\bshorts?\b|\bbermudas?\b	WOMEN_SKORTS (Jupes-shorts) ; LOW_WAIST_SHORTS (Shorts taille basse) ; HIGH_WASTED_SHORTS (Shorts taille haute) ; MEDIUM_LENGTH_SHORTS (Shorts longueur genou) ; JEANS_SHORTS (Short en jean) ; LEATHER_SHORTS (Shorts en cuir) ; CARGO_SHORTS (Shorts cargo) ; WOM_SHO_OTHER (Autres shorts)
👖	53	AMBIGU	jean(?!\W(?:paul|patou|jacques|claude|charles|louis|pierre|m	W_PANTSUITS (Ensembles tailleur/pantalon) ; JEANS_DRESSES_TUNICS (Robes en jean) ; W_CROPPED_JEANS (Jeans courts) ; FLARED_JEANS (Jeans évasés) ; W_HIGH_WAIST_JEANS (Jeans taille haute) ; W_RIPPED_JEANS (Jeans troués) ; W_SKINNY_JEANS (Jeans skinny) ; W_STRAIGHT_JEANS (Jeans droits)
👖	0	SANS_EQUIVALENT	\bsurvets?\b	
🩲	18	AMBIGU	lingerie|soutien[sx]?.?gorge|nuisette|pyjama|peignoir|tenue[	BRAS (Soutiens-gorge) ; PANTIES_THONGS (Culottes) ; NIGHTWEAR (Pyjamas et tenues de nuit) ; DRESSING_GOWNS (Peignoirs) ; LINGERIE_ACC (Accessoires de lingerie) ; MEN_ROBES (Peignoirs) ; MEN_ONE_PIECE_PYJAMAS (Pyjamas une-pièce) ; MEN_PYJAMA_BOTTOMS (Bas de pyjama)
🧦	7	AMBIGU	chaussette|collant	INTIMATES_TIGHTS (Collants) ; INTIMATES_SOCKS (Chaussettes) ; MEN_SOCKS (Chaussettes) ; SOCKS_GIRLS_NEW (Chaussettes) ; TIGHTS_GIRLS_NEW (Collants) ; SOCKS_BOYS_NEW (Chaussettes) ; TIGHTS_BOYS_NEW (Collants)
🧣	7	AMBIGU	écharpe|foulard|châle|snood	WOMEN_BANDANAS_HEADSCARVES (Bandanas et foulards pour cheveux) ; WOM_ACC_SCARVES_SHAWLS (Écharpes et châles) ; MEN_BANDANAS_HEADSCARVES (Bandanas et foulards pour cheveux) ; SCARVES_SHAWLS (Écharpes et châles) ; SCARVES_GIRLS_NEW (Écharpes et châles) ; SCARVES_BOYS_NEW (Écharpes et châles) ; BABY_SLINGS (Écharpes et slings)
🧤	7	AMBIGU	(?<![\p{L}\p{N}])gants?(?![\p{L}\p{N}])(?!\s*de\s*boxe)|(?<!	GLOVES (Gants) ; MEN_ACC_GLOVES (Gants) ; GLOVES_GIRLS_NEW (Gants) ; GLOVES_BOYS_NEW (Gants) ; SPORT_HORSE_GLOVES (Gants d'équitation) ; SPORT_WATER_WETSUITS (Combinaisons, gants et chaussons) ; SPORT_GOLF_GLOVES (Gants de golf)
⌚	3	NET	(?<![\p{L}\p{N}])montres?(?![\p{L}\p{N}])(?!\s+(?:qu|que|com	HIGHTECH_MONTRES_ACCESSOIRES (Bracelets et coques de montre connectée) ; WATCHES (Montres) ; MEN_ACC_WATCHES (Montres)
⌚	0	SANS_EQUIVALENT	(?<![\p{L}\p{N}])cadrans?(?![\p{L}\p{N}])|remontoir|montre[s	
🕶️	3	NET	(?<![\p{L}\p{N}])lunettes(?![\p{L}\p{N}])|lunettes?.?de.?(?:	SUNGLASSES (Lunettes de soleil) ; MEN_ACC_SUNGLASSES (Lunettes de soleil) ; SPORT_WINTER_GOGGLES (Masques et lunettes de ski)
💍	33	AMBIGU	bijou|collier|bracelet|(?<![\p{L}\p{N}])bagues?(?![\p{L}\p{N	HIGHTECH_SUPPORTS_GRIPS (Supports, anneaux et bijoux de téléphone) ; HIGHTECH_MONTRES_ACCESSOIRES (Bracelets et coques de montre connectée) ; LOISIRS_BIJOUX_DIY (Bijoux DIY) ; KID_BEADS (Perles et fabrication de bijoux) ; WOMEN_WRISTLETS (Bracelets) ; ANKLETS_NEW (Bracelets de cheville) ; WOMEN_BODY_JEWELLERY (Bijoux de corps) ; BRACELETS (Bracelets)
